"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits","Primary Source","Zip Code","City Name"
"LA1049030","SPILLWAY ESTATES WATER SYSTEM","Region 6","Louisiana","Community water system","105","-","Jackson Parish","8","35","24","Ground water","70471","MANDEVILLE"
"LA1067007","LAKEVIEW ESTATES SUBD WS","Region 6","Louisiana","Community water system","120","-","Morehouse Parish","5","29","20","Ground water","70471","MANDEVILLE"
"LA1103108","UTILITIES INC - OAKMONT SUBD","Region 6","Louisiana","Community water system","612","-","St. Tammany Parish","5","0","10","Ground water","70471","MANDEVILLE"
"LA1103075","UTILITIES INC - WOODRIDGE SUBDIVISION","Region 6","Louisiana","Community water system","1,590","-","St. Tammany Parish","7","0","9","Ground water","70471","MANDEVILLE"
"LA1103074","UTILITIES INC - QUAIL RIDGE SUBDIVISION","Region 6","Louisiana","Community water system","1,563","-","St. Tammany Parish","17","2","10","Ground water","70471","MANDEVILLE"
"LA1049032","PARADISE POINT WATER SYSTEM","Region 6","Louisiana","Community water system","90","-","Jackson Parish","5","25","18","Ground water","70471","MANDEVILLE"
"LA1083015","RICHLAND HEIGHTS SUBD WATER SYSTEM","Region 6","Louisiana","Community water system","30","-","Richland Parish","5","28","23","Ground water","70471","MANDEVILLE"
"LA1127008","JOYCE WATER SUPPLY","Region 6","Louisiana","Community water system","474","-","Winn Parish","6","56","18","Ground water","70471","MANDEVILLE"
"LA1103054","UTILITIES INC - MAGNOLIA FOREST SUBD","Region 6","Louisiana","Community water system","1,635","-","St. Tammany Parish","21","3","10","Ground water","70471","MANDEVILLE"
"LA1103124","UTILITIES INC - NORTH PARK WATER SUPPLY","Region 6","Louisiana","Community water system","11,298","-","St. Tammany Parish","21","7","10","Ground water","70471","MANDEVILLE"
"LA1103113","UTILITIES INC - BEAU VILLAGE","Region 6","Louisiana","Community water system","165","-","St. Tammany Parish","4","22","11","Ground water","70471","MANDEVILLE"
"LA1029011","CITY OF VIDALIA WATER SYSTEM","Region 6","Louisiana","Community water system","6,354","-","Concordia Parish","15","6","21","Ground water","71373","VIDALIA"
"LA1033133","AUDUBON PARK APARTMENTS WATER SYSTEM","Region 6","Louisiana","Community water system","534","-","East Baton Rouge Parish","6","2","3","Ground water","70791","ZACHARY"
"LA2103413","HOSANNA LUTHERAN CHURCH","Region 6","Louisiana","Non-Transient non-community system","325","-","St. Tammany Parish","4","2","8","Ground water","70448","2480 HWY 190"
"LA1021011","VIXEN WATER SYSTEM EAST","Region 6","Louisiana","Community water system","486","-","Caldwell Parish","6","107","31","Ground water","71226","CHATHAM"
"LA1049031","VIXEN WATER SYSTEM WEST","Region 6","Louisiana","Community water system","288","-","Jackson Parish","7","145","27","Ground water","71226","CHATHAM"
"LA1107009","TENSAS WATER DISTRICT ASSOCIATION","Region 6","Louisiana","Community water system","3,843","-","Tensas Parish","16","30","57","Surface water","71336","ST JOSEPH"
"LA1043004","VILLAGE OF GEORGETOWN WATER SUPPLY","Region 6","Louisiana","Community water system","302","-","Grant Parish","10","136","20","Ground water purchased","71432","GEORGETOWN"
"LA2033021","EXXONMOBIL BATON ROUGE REFINERY","Region 6","Louisiana","Non-Transient non-community system","2,500","-","East Baton Rouge Parish","7","0","13","Ground water","70821","BATON ROUGE"
"LA1019129","COUNTRY PINES SOUTH SUBDIVISION WS","Region 6","Louisiana","Community water system","570","-","Calcasieu Parish","6","0","1","Ground water","70471-3442","MANDEVILLE"
"LA1019083","COUNTRY PINES NORTH SUBDIVISION WS","Region 6","Louisiana","Community water system","936","-","Calcasieu Parish","14","28","19","Ground water","70471-3442","MANDEVILLE"
"LA1019098","SOUTH CALCASIEU ESTATES SUBDIVISION W S","Region 6","Louisiana","Community water system","144","-","Calcasieu Parish","6","33","12","Ground water","70471-3442","MANDEVILLE"
"LA1091007","WWKS DISTRICT 2 OF ST HELENA","Region 6","Louisiana","Community water system","4,554","-","St. Helena Parish","17","2","9","Ground water","70441","GREENSBURG"
"LA1091008","WATER WORKS DISTRICT 2 - PHASE 3","Region 6","Louisiana","Community water system","1,671","-","St. Helena Parish","9","2","9","Ground water","70441","GREENSBURG"
"LA1111018","RANDOLPH WATER SYSTEM","Region 6","Louisiana","Community water system","222","-","Union Parish","8","41","25","Ground water","71749","JUNCTION CITY"
"LA1009017","AVOYELLES WARD 3 WATERWORKS DISTRICT","Region 6","Louisiana","Community water system","2,433","-","Avoyelles Parish","18","2","7","Ground water purchased","71350","MANSURA"
"LA2103372","SCUTTLEBUTT","Region 6","Louisiana","Transient non-community system","100","-","St. Tammany Parish","4","11","7","Ground water","70461","SLIDELL"
"LA1055132","KINGS COURT MHP WATER SYSTEM","Region 6","Louisiana","Community water system","220","-","Lafayette Parish","5","10","19","Ground water","70502","LAFAYETTE"
"LA1005152","PINE TRAILER PARK","Region 6","Louisiana","Community water system","60","-","Ascension Parish","5","140","22","Ground water","70737","GONZALES"
"LA2019166","OSPREY LAKES RV PARK WATER SYSTEM","Region 6","Louisiana","Transient non-community system","279","-","Calcasieu Parish","4","3","5","Ground water","70605","LAKE CHARLES"
"LA1063017","WALKER WATER SYSTEM","Region 6","Louisiana","Community water system","13,530","-","Livingston Parish","13","16","9","Ground water","70785","WALKER"
"LA1013015","TAYLOR WATER SYSTEM","Region 6","Louisiana","Community water system","246","-","Bienville Parish","7","23","13","Ground water","70471","MANDEVILLE"
"LA1049033","HANCOCK HAVEN WATER SYSTEM","Region 6","Louisiana","Community water system","144","-","Jackson Parish","2","25","6","Ground water purchased","70471","MANDEVILLE"
"LA1103073","UTILITIES INC - HUNTWYCK VILLAGE","Region 6","Louisiana","Community water system","2,088","-","St. Tammany Parish","5","3","10","Ground water","70471","MANDEVILLE"
"LA1103064","UTILITIES INC - LAKE VILLAGE SD","Region 6","Louisiana","Community water system","2,073","-","St. Tammany Parish","6","1","10","Ground water","70471","MANDEVILLE"
"LA1103055","UTILITIES INC - KINGSPOINT SUBDIVISION","Region 6","Louisiana","Community water system","6,276","-","St. Tammany Parish","13","4","11","Ground water","70471","MANDEVILLE"
"LA1117026","UTILITIES INC - NORTH FOLSOM HILLS","Region 6","Louisiana","Community water system","81","-","Washington Parish","5","76","6","Ground water","70471","MANDEVILLE"
"LA1005045","ASCENSION CONSOLIDATED UTILITY DIST 1","Region 6","Louisiana","Community water system","1,869","-","Ascension Parish","9","52","10","Surface water purchased","70737","GONZALES"
"LA1005035","PARISH UTILITIES OF ASCENSION","Region 6","Louisiana","Community water system","9,810","-","Ascension Parish","10","49","36","Surface water","70737","GONZALES"
"LA1115118","SOUTH VERNON PARISH WATERWORKS DISTRICT","Region 6","Louisiana","Community water system","3,600","-","Vernon Parish","10","5","17","Ground water","70659","ROSEPINE"
"LA1047005","CITY OF PLAQUEMINE WATER SYSTEM","Region 6","Louisiana","Community water system","14,043","-","Iberville Parish","12","6","18","Ground water","70764","PLAQUEMINE"
"LA1009021","AVOYELLES WATER COMMISSION","Region 6","Louisiana","Community water system","0","-","Avoyelles Parish","17","4","20","Ground water","71355","MOREAUVILLE"
"LA1031006","GRAND CANE WATER SYSTEM","Region 6","Louisiana","Community water system","418","-","De Soto Parish","8","10","14","Ground water","71032","GRAND CANE"
"LA1029003","CONCORDIA WATERWORKS DISTRICT 1","Region 6","Louisiana","Community water system","6,921","-","Concordia Parish","27","2","14","Ground water","71334","FERRIDAY"
"LA1063004","CITY OF DENHAM SPRINGS WATER SYSTEM","Region 6","Louisiana","Community water system","25,725","-","Livingston Parish","20","6","13","Ground water","70727","DENHAM SPRINGS"
"LA1119032","DORCHEAT ACRES WATER SYSTEM","Region 6","Louisiana","Community water system","411","-","Webster Parish","7","8","11","Ground water","71075","SPRINGHILL"
"LA1027007","PINE HILL WATER SYSTEM","Region 6","Louisiana","Community water system","729","-","Claiborne Parish","8","6","11","Ground water","71038","HAYNESVILLE"
"LA1091001","WATER WORKS DISTRICT 2 - CROSS ROADS","Region 6","Louisiana","Community water system","1,017","-","St. Helena Parish","15","6","10","Ground water","70441","GREENSBURG"
"LA1103111","SOUTHERN MANOR M H P","Region 6","Louisiana","Community water system","246","-","St. Tammany Parish","7","2","10","Ground water","70461","SLIDELL"
"LA1103189","H2O SYSTEMS INC - GUSTE ISLAND WATER SU","Region 6","Louisiana","Community water system","2,847","-","St. Tammany Parish","5","5","9","Ground water","70448","MANDEVILLE"
"LA1103081","KTERI APARTMENTS","Region 6","Louisiana","Community water system","100","-","St. Tammany Parish","4","8","9","Ground water","70461","SLIDELL"
"LA1063110","WARD II WATER DISTRICT - SANDY RIDGE","Region 6","Louisiana","Community water system","200","-","Livingston Parish","7","1","8","Ground water purchased","70727","DENHAMS SPRINGS"
"LA1063041","WARD II WATER DISTRICT - VINCENT PLACE","Region 6","Louisiana","Community water system","267","-","Livingston Parish","7","8","11","Ground water purchased","70727","DENHAMS SPRINGS"
"LA1063039","WARD II WATER DISTRICT","Region 6","Louisiana","Community water system","58,560","-","Livingston Parish","54","5","18","Ground water","70727","DENHAMS SPRINGS"
"LA1063033","WARD II WATER DISTRICT - PORT VINCENT","Region 6","Louisiana","Community water system","491","-","Livingston Parish","8","11","13","Ground water","70727","DENHAMS SPRINGS"
